kategori,varumarke,produkt,swedron_id,url,matchpoang,narmaste_hos_oss
varumärke saknas,lifthor,lifthor-claw-pro-2-till-dji-rc-pro,15001577161091,https://swedron.se/produkt/15001577161091/lifthor-claw-pro-2-till-dji-rc-pro/,0.647,
varumärke saknas,lifthor,lifthor-snabbladdare-65w,15006113071491,https://swedron.se/produkt/15006113071491/lifthor-snabbladdare-65w/,0.485,
varumärke saknas,lifthor,lifthor-claw-till-rc-1rc-2,15246925595011,https://swedron.se/produkt/15246925595011/lifthor-claw-till-rc-1rc-2/,0.388,
varumärke saknas,lifthor,lifthor-rc-pro-2-saga-utility-mount-hap,15246925824387,https://swedron.se/produkt/15246925824387/lifthor-rc-pro-2-saga-utility-mount-hap/,0.485,
varumärke saknas,lifthor,lifthor-rc-pro-2-tripod-mount,15246926086531,https://swedron.se/produkt/15246926086531/lifthor-rc-pro-2-tripod-mount/,0.647,
varumärke saknas,lifthor,lifthor-rc-pro-2-claw-iv-lanyard-sy-x0g,15246926315907,https://swedron.se/produkt/15246926315907/lifthor-rc-pro-2-claw-iv-lanyard-sy-x0g/,0.364,
varumärke saknas,lifthor,lifthor-rc-pro-2-claw-iv-combo-lany-72j,15246926381443,https://swedron.se/produkt/15246926381443/lifthor-rc-pro-2-claw-iv-combo-lany-72j/,0.485,
varumärke saknas,lifthor,lifthor-rc-pro-2-solskydd,15246926676355,https://swedron.se/produkt/15246926676355/lifthor-rc-pro-2-solskydd/,0.776,
varumärke saknas,lifthor,lifthor-utility-mount-till-rc-pro,9885110796628,https://swedron.se/produkt/9885110796628/lifthor-utility-mount-till-rc-pro/,0.582,
varumärke saknas,lifthor,lifthor-utility-mount-till-rc-pro-p-gub,9885111026004,https://swedron.se/produkt/9885111026004/lifthor-utility-mount-till-rc-pro-p-gub/,0.416,
varumärke saknas,lifthor,lifthor-freya-utility-mount-till-dj-kb9,9885111255380,https://swedron.se/produkt/9885111255380/lifthor-freya-utility-mount-till-dj-kb9/,0.388,
varumärke saknas,lifthor,lifthor-quick-release-mounting-brac-jau,9885111484756,https://swedron.se/produkt/9885111484756/lifthor-quick-release-mounting-brac-jau/,0.647,
varumärke saknas,lifthor,lifthor-dji-rc-pro-mini-hdmi-till-h-fcc,9885111877972,https://swedron.se/produkt/9885111877972/lifthor-dji-rc-pro-mini-hdmi-till-h-fcc/,0.485,
varumärke saknas,lifthor,lifthor-usb-c-till-hdmi-kabel,9885112009044,https://swedron.se/produkt/9885112009044/lifthor-usb-c-till-hdmi-kabel/,0.776,
varumärke saknas,firehouse,firehouse-technology-infrared-strob-mhz,15001577259395,https://swedron.se/produkt/15001577259395/firehouse-technology-infrared-strob-mhz/,0.194,
varumärke saknas,firehouse,firehouse-tech-dji-mavic-mini-tactical-light-kit-extended,7989077344482,https://swedron.se/produkt/7989077344482/firehouse-tech-dji-mavic-mini-tactical-light-kit-extended/,0.323,
varumärke saknas,hprc,hprc-skyddsvska-fr-dji-matrice-3d3t-wco,15001577980291,https://swedron.se/produkt/15001577980291/hprc-skyddsvska-fr-dji-matrice-3d3t-wco/,0.277,
varumärke saknas,hprc,hprc-hardcase-mavic-4-pro-creator-c-6gs,15239034143107,https://swedron.se/produkt/15239034143107/hprc-hardcase-mavic-4-pro-creator-c-6gs/,0.693,
varumärke saknas,hprc,hprc-foam-kit-mavic-4-pro-creator-c-bd7,15239034208643,https://swedron.se/produkt/15239034208643/hprc-foam-kit-mavic-4-pro-creator-c-bd7/,0.606,
varumärke saknas,hprc,hprc-air-33s-fly-more-combo-hardcas-3bp,15250081022339,https://swedron.se/produkt/15250081022339/hprc-air-33s-fly-more-combo-hardcas-3bp/,0.554,
varumärke saknas,hprc,hprc-foam-kit-air-33s-fly-more-comb-ker,15250081087875,https://swedron.se/produkt/15250081087875/hprc-foam-kit-air-33s-fly-more-comb-ker/,0.539,
varumärke saknas,hprc,hprc-air-3-fly-more-combo-hardcase-br5,15250081317251,https://swedron.se/produkt/15250081317251/hprc-air-3-fly-more-combo-hardcase-br5/,0.693,
varumärke saknas,hprc,hprc-foam-kit-air-33s-fly-more-comb-hba,15250081448323,https://swedron.se/produkt/15250081448323/hprc-foam-kit-air-33s-fly-more-comb-hba/,0.539,
varumärke saknas,hprc,hprc-matrice-4e4t-hardcase-hprc2500-4ch,15250081579395,https://swedron.se/produkt/15250081579395/hprc-matrice-4e4t-hardcase-hprc2500-4ch/,0.388,
varumärke saknas,hprc,hprc-foam-kit-till-matrice-4e4-hard-c6s,15250081644931,https://swedron.se/produkt/15250081644931/hprc-foam-kit-till-matrice-4e4-hard-c6s/,0.323,
varumärke saknas,hprc,hprc-hardcase-matrice-4d4td-hprc271-j5h,15257283625347,https://swedron.se/produkt/15257283625347/hprc-hardcase-matrice-4d4td-hprc271-j5h/,0.388,
varumärke saknas,hprc,hprc-foam-kit-matrice-4d4td-hprc271-pzl,15257283789187,https://swedron.se/produkt/15257283789187/hprc-foam-kit-matrice-4d4td-hprc271-pzl/,0.277,
varumärke saknas,hprc,hprc-mini-2-hardcase-vska-fly-more-qfb,15353803440515,https://swedron.se/produkt/15353803440515/hprc-mini-2-hardcase-vska-fly-more-qfb/,0.485,
varumärke saknas,hprc,hprc-hardcase-vska-tb30-wb37-batter-9sy,15353803866499,https://swedron.se/produkt/15353803866499/hprc-hardcase-vska-tb30-wb37-batter-9sy/,0.323,
varumärke saknas,hprc,hprc-tb55-hardcase-vska-special-edi-v0h,15353803932035,https://swedron.se/produkt/15353803932035/hprc-tb55-hardcase-vska-special-edi-v0h/,0.162,
varumärke saknas,hprc,hprc-hardcase-dji-mini-5-pro-fly-mo-ij8,15416605442435,https://swedron.se/produkt/15416605442435/hprc-hardcase-dji-mini-5-pro-fly-mo-ij8/,0.728,
varumärke saknas,hprc,hprc-transportvska-fr-mini-4-pro,8664606802260,https://swedron.se/produkt/8664606802260/hprc-transportvska-fr-mini-4-pro/,0.647,
varumärke saknas,hprc,hprc-transportvska-fr-dji-mavic-2-p-b3d,8814157037908,https://swedron.se/produkt/8814157037908/hprc-transportvska-fr-dji-mavic-2-p-b3d/,0.554,
varumärke saknas,dronavia,dronavia-kronos-i3-till-inspire-3,15010717106563,https://swedron.se/produkt/15010717106563/dronavia-kronos-i3-till-inspire-3/,0.388,
varumärke saknas,dronavia,dronavia-flight-termination-system-k61,15010717139331,https://swedron.se/produkt/15010717139331/dronavia-flight-termination-system-k61/,0.323,
varumärke saknas,dronavia,dronavia-kronos-m3-till-mavic-3etm-eia,15010717204867,https://swedron.se/produkt/15010717204867/dronavia-kronos-m3-till-mavic-3etm-eia/,0.323,
varumärke saknas,dronavia,dronavia-flight-termination-system-tqf,15010717237635,https://swedron.se/produkt/15010717237635/dronavia-flight-termination-system-tqf/,0.242,
varumärke saknas,dronavia,dronavia-kronos-m350-till-matrice-3-wbm,15010717270403,https://swedron.se/produkt/15010717270403/dronavia-kronos-m350-till-matrice-3-wbm/,0.323,
varumärke saknas,dronavia,dronavia-flight-termination-system-xxu,15010717368707,https://swedron.se/produkt/15010717368707/dronavia-flight-termination-system-xxu/,0.242,
varumärke saknas,dronavia,dronavia-zphyr-m30-double-till-matr-11o,15010717401475,https://swedron.se/produkt/15010717401475/dronavia-zphyr-m30-double-till-matr-11o/,0.388,
varumärke saknas,dronavia,dronavia-flight-termination-system-tpa,15010717434243,https://swedron.se/produkt/15010717434243/dronavia-flight-termination-system-tpa/,0.242,
varumärke saknas,dronavia,dronavia-kronos-m4-till-matrice-4,15019387388291,https://swedron.se/produkt/15019387388291/dronavia-kronos-m4-till-matrice-4/,0.388,
