current_handle,proposed_handle,current_url,new_url,redirect_required,swedish_detected,title,products_count,execute_phase,internal_references_impacted
_test-collection-delete-me,_test-collection-delete-me,/collections/_test-collection-delete-me,/collections/_test-collection-delete-me,NO,NO,TEST Collection Delete Me,0,SKIP,
accessories-dji-air-3s,accessories-dji-air-3s,/collections/accessories-dji-air-3s,/collections/accessories-dji-air-3s,NO,NO,Tillbehör DJI Air 3S - Tillbehör för DJI Air 3S: Komplettera din dröna,13,SKIP,
accessories-dji-air-series,accessories-dji-air-series,/collections/accessories-dji-air-series,/collections/accessories-dji-air-series,NO,NO,Tillbehör till DJI Air-Serien – Uppgradera din drönare idag!,12,SKIP,
accessories-dji-avata-series,accessories-dji-avata-series,/collections/accessories-dji-avata-series,/collections/accessories-dji-avata-series,NO,NO,DJI Avata tillbehör: FPV-drönarutrustning för proffs & nybörjare,14,SKIP,
accessories-dji-inspire,accessories-dji-inspire,/collections/accessories-dji-inspire,/collections/accessories-dji-inspire,NO,NO,DJI Inspire Tillbehör,0,SKIP,
accessories-dji-mavic-2,accessories-dji-mavic-2,/collections/accessories-dji-mavic-2,/collections/accessories-dji-mavic-2,NO,NO,Tillbehör DJI Mavic 2: Utrustning för din drönare,4,SKIP,
accessories-dji-mavic-3-cine,accessories-dji-mavic-3-cine,/collections/accessories-dji-mavic-3-cine,/collections/accessories-dji-mavic-3-cine,NO,NO,Tillbehör DJI Mavic 3 Cine för optimal prestanda,10,SKIP,
accessories-dji-mavic-drones,accessories-dji-mavic-drones,/collections/accessories-dji-mavic-drones,/collections/accessories-dji-mavic-drones,NO,NO,dji mavic 3e - Tillbehör för DJI Mavic Drönare,2,SKIP,
accessories-dji-mini-2-2-se,accessories-dji-mini-2-2-se,/collections/accessories-dji-mini-2-2-se,/collections/accessories-dji-mini-2-2-se,NO,NO,Tillbehör DJI Mini 2 / 2 SE - Tillbehör för DJI Mini,47,SKIP,
accessories-dji-mini-4,accessories-dji-mini-4,/collections/accessories-dji-mini-4,/collections/accessories-dji-mini-4,NO,NO,DJI Mini 3 Tillbehör: Utforska drönarens fulla potential,18,SKIP,
accessories-dji-mini-4-series,accessories-dji-mini-4-series,/collections/accessories-dji-mini-4-series,/collections/accessories-dji-mini-4-series,NO,NO,Tillbehör till DJI Mini 4-serien – Maxa din drönarupplevelse!,3,SKIP,
accessories-dji-neo,accessories-dji-neo,/collections/accessories-dji-neo,/collections/accessories-dji-neo,NO,NO,DJI Neo tillbehör – Batteri & mer för optimal flygning,20,SKIP,
accessories-for-dji-air-3-series,accessories-for-dji-air-3-series,/collections/accessories-for-dji-air-3-series,/collections/accessories-for-dji-air-3-series,NO,NO,Tillbehör till DJI AIR 3-Serien,14,SKIP,
airdrop-system,airdrop-system,/collections/airdrop-system,/collections/airdrop-system,NO,NO,Airdrop System,24,SKIP,enterprise-dr-nare → Airdrop; enterprise-dr-nare → :[];Airdrop
all-products,all-products,/collections/all-products,/collections/all-products,NO,NO,Alla produkter Drönare,841,SKIP,
amagisn-kameratillbehor-and-dronarutrustning,amagisn-camera-accessories-and-drone-equipment,/collections/amagisn-kameratillbehor-and-dronarutrustning,/collections/amagisn-camera-accessories-and-drone-equipment,YES,YES,kameratillbehör - AMagisn Tillbehör för Kamera och Drönare,149,3,
bandverktyg,pliers,/collections/bandverktyg,/collections/pliers,YES,YES,Bändverktyg för Precisionsreparationer,2,3,
batteries,batteries,/collections/batteries,/collections/batteries,NO,NO,Batterier och laddare,64,SKIP,
belysning-for-drones,lighting-for-drones,/collections/belysning-for-drones,/collections/lighting-for-drones,YES,YES,Belysning till drönare,28,3,
brdrc-accessories,brdrc-accessories,/collections/brdrc-accessories,/collections/brdrc-accessories,NO,NO,Kompletta BRDRC Tillbehör för Din Utrustning,134,SKIP,
camera-tripod-stand,camera-tripod-stand,/collections/camera-tripod-stand,/collections/camera-tripod-stand,NO,NO,Kamerastativ & Tripod – Stabilt Mobil- och Kamerastativ,86,SKIP,
cleaning-products-actionking,cleaning-products-actionking,/collections/cleaning-products-actionking,/collections/cleaning-products-actionking,NO,NO,Rengörning för elektronik,18,SKIP,
dij-air-3-series,dij-air-3-series,/collections/dij-air-3-series,/collections/dij-air-3-series,NO,NO,DJI Air 3-Serien för Professionell Flygfotografering,3,SKIP,
dji,dji,/collections/dji,/collections/dji,NO,NO,DJI: Innovation inom Drönarteknik,84,SKIP,
dji-agras-drones,dji-agras-drones,/collections/dji-agras-drones,/collections/dji-agras-drones,NO,NO,DJI Agras Drönare för Precisionsjordbruk,4,SKIP,
dji-agras-t40,dji-agras-t40,/collections/dji-agras-t40,/collections/dji-agras-t40,NO,NO,DJI Agras T40,2,SKIP,enterprise-expansion-deploy → :[];Agras T40
dji-agras-t50,dji-agras-t50,/collections/dji-agras-t50,/collections/dji-agras-t50,NO,NO,DJI Agras T50,3,SKIP,enterprise-expansion-deploy → :[];Agras T50
dji-air-2-accessories,dji-air-2-accessories,/collections/dji-air-2-accessories,/collections/dji-air-2-accessories,NO,NO,Högkvalitativa DJI Air 2 Tillbehör för Drönare,3,SKIP,
dji-air-2-series,dji-air-2-series,/collections/dji-air-2-series,/collections/dji-air-2-series,NO,NO,DJI Air 2 Serien: Drönare och Tillbehör,1,SKIP,
dji-air-2s,dji-air-2s,/collections/dji-air-2s,/collections/dji-air-2s,NO,NO,DJI Air 2S,1,SKIP,
dji-air-2s-accessories,dji-air-2s-accessories,/collections/dji-air-2s-accessories,/collections/dji-air-2s-accessories,NO,NO,DJI Air 2S Tillbehör – Optimerad Flygning,0,SKIP,
dji-air-3,dji-air-3,/collections/dji-air-3,/collections/dji-air-3,NO,NO,DJI AIR 3,3,SKIP,
dji-air-3-accessories,dji-air-3-accessories,/collections/dji-air-3-accessories,/collections/dji-air-3-accessories,NO,NO,DJI Air 3 — Tillbehör,201,SKIP,
dji-air-3-accessories-comprehensive-range,dji-air-3-accessories-comprehensive-range,/collections/dji-air-3-accessories-comprehensive-range,/collections/dji-air-3-accessories-comprehensive-range,NO,NO,Omfattande Sortiment av DJI Air 3 Tillbehör,66,SKIP,
dji-air-3-antenner,dji-air-3-antennas,/collections/dji-air-3-antenner,/collections/dji-air-3-antennas,YES,YES,DJI Air 3 — Antenner,131,3,spare-parts-deploy → :[];Antenner
dji-air-3-armar,dji-air-3-arms,/collections/dji-air-3-armar,/collections/dji-air-3-arms,YES,YES,DJI Air 3 — Armar,267,3,spare-parts-deploy → :[];Armar
dji-air-3-batteries,dji-air-3-batteries,/collections/dji-air-3-batteries,/collections/dji-air-3-batteries,NO,NO,DJI Air 3 — Batterier,482,SKIP,
dji-air-3-gimbal,dji-air-3-gimbal,/collections/dji-air-3-gimbal,/collections/dji-air-3-gimbal,NO,NO,DJI Air 3 — Gimbal,323,SKIP,spare-parts-deploy → :[];Gimbal
dji-air-3-kablar,dji-air-3-cables,/collections/dji-air-3-kablar,/collections/dji-air-3-cables,YES,YES,DJI Air 3 — Kablar,713,3,spare-parts-deploy → :[];Kablar
dji-air-3-kameror,dji-air-3-cameras,/collections/dji-air-3-kameror,/collections/dji-air-3-cameras,YES,YES,DJI Air 3 — Kameror,1165,3,spare-parts-deploy → :[];Kameror
dji-air-3-landningsstall,dji-air-3-landing-gear,/collections/dji-air-3-landningsstall,/collections/dji-air-3-landing-gear,YES,YES,DJI Air 3 — Landningsställ,160,3,spare-parts-deploy → :[];Landningsställ
dji-air-3-motorer,dji-air-3-motors,/collections/dji-air-3-motorer,/collections/dji-air-3-motors,YES,YES,DJI Air 3 — Motorer,245,3,spare-parts-deploy → :[];Motorer
dji-air-3-propellers,dji-air-3-propellers,/collections/dji-air-3-propellers,/collections/dji-air-3-propellers,NO,NO,DJI Air 3 — Propellrar,327,SKIP,
dji-air-3-sensorer,dji-air-3-sensors,/collections/dji-air-3-sensorer,/collections/dji-air-3-sensors,YES,YES,DJI Air 3 — Sensorer,147,3,spare-parts-deploy → :[];Sensorer
dji-air-3-skal,dji-air-3-shell,/collections/dji-air-3-skal,/collections/dji-air-3-shell,YES,YES,DJI Air 3 — Skal,345,3,spare-parts-deploy → :[];Skal
dji-air-3-spare-parts,dji-air-3-spare-parts,/collections/dji-air-3-spare-parts,/collections/dji-air-3-spare-parts,NO,NO,DJI Air 3 — Reservdelar,127,SKIP,
dji-air-3s,dji-air-3s,/collections/dji-air-3s,/collections/dji-air-3s,NO,NO,DJI Air 3S,2,SKIP,
dji-air-series,dji-air-series,/collections/dji-air-series,/collections/dji-air-series,NO,NO,DJI AIR-serien,6,SKIP,
dji-avata-2-accessories,dji-avata-2-accessories,/collections/dji-avata-2-accessories,/collections/dji-avata-2-accessories,NO,NO,DJI Avata 2 tillbehör – Skydd & batterier till din drönare,51,SKIP,
dji-avata-accessories,dji-avata-accessories,/collections/dji-avata-accessories,/collections/dji-avata-accessories,NO,NO,DJI Avata Tillbehör,6,SKIP,
dji-avata-pro-fpv-drones,dji-avata-pro-fpv-drones,/collections/dji-avata-pro-fpv-drones,/collections/dji-avata-pro-fpv-drones,NO,NO,Avata Pro FPV-Drönare – Nästa Generations Flygning,2,SKIP,
dji-avata-series,dji-avata-series,/collections/dji-avata-series,/collections/dji-avata-series,NO,NO,DJI Avata-Serien,2,SKIP,
dji-dock-2,dji-dock-2,/collections/dji-dock-2,/collections/dji-dock-2,NO,NO,DJI Dock 2,1,SKIP,enterprise-expansion-deploy → :[];Dock 2
dji-dock-3,dji-dock-3,/collections/dji-dock-3,/collections/dji-dock-3,NO,NO,DJI Dock 3,1,SKIP,enterprise-expansion-deploy → :[];Dock 3
dji-drone-spare-parts,dji-drone-spare-parts,/collections/dji-drone-spare-parts,/collections/dji-drone-spare-parts,NO,NO,Hitta DJI-drönar reservdelar av hög kvalitet,16,SKIP,
dji-drones,dji-drones,/collections/dji-drones,/collections/dji-drones,NO,NO,DJI Drönare,22,SKIP,
dji-drones-fjarrkontroller,dji-drones-remote-controls,/collections/dji-drones-fjarrkontroller,/collections/dji-drones-remote-controls,YES,YES,Fjärrkontroller och Tillbehör för DJI Drönare,7,3,
dji-enterprise-fjarrkontroller,dji-enterprise-remote-controls,/collections/dji-enterprise-fjarrkontroller,/collections/dji-enterprise-remote-controls,YES,YES,Professionella Fjärrkontroller för DJI Enterprise,22,3,
dji-flip-accessories,dji-flip-accessories,/collections/dji-flip-accessories,/collections/dji-flip-accessories,NO,NO,DJI Flip™ tillbehör – Optimal utrustning till din drönare,63,SKIP,
dji-flip-battery-accessories,dji-flip-battery-accessories,/collections/dji-flip-battery-accessories,/collections/dji-flip-battery-accessories,NO,NO,Optimala DJI Flip tillbehör – Maxa din drönarupplevelse!,3,SKIP,
dji-flip-drones,dji-flip-drones,/collections/dji-flip-drones,/collections/dji-flip-drones,NO,NO,DJI Flip: Kompakta Vikbara Drönare,3,SKIP,
