proposed_handle,taxonomy_pillar,products_count,merged_from_count,merged_from,proposed_url
drone-accessories,Accessories,989,2,drone-accessories-buy; drone-accessories-drone,/collections/drone-accessories
drone-filters,Accessories,513,2,filter-drones-lins; filters-for-drones,/collections/drone-filters
drone-backpack-bags,Accessories,203,0,,/collections/drone-backpack-bags
dji-air-3-accessories,Accessories,201,0,,/collections/dji-air-3-accessories
drone-electronics-flight-components,Accessories,175,0,,/collections/drone-electronics-flight-components
waterproof-camera-protection,Accessories,141,0,,/collections/waterproof-camera-protection
dji-neo-accessories,Accessories,129,0,,/collections/dji-neo-accessories
camera-tripod-stand,Accessories,86,0,,/collections/camera-tripod-stand
dji-mavic-3-enterprise-accessories,Accessories,85,0,,/collections/dji-mavic-3-enterprise-accessories
enterprise-drone-accessories,Accessories,77,0,,/collections/enterprise-drone-accessories
dji-air-3-accessories-comprehensive-range,Accessories,66,0,,/collections/dji-air-3-accessories-comprehensive-range
dji-mavic-3-accessories,Accessories,66,0,,/collections/dji-mavic-3-accessories
batteries,Accessories,64,0,,/collections/batteries
dji-flip-accessories,Accessories,63,0,,/collections/dji-flip-accessories
propeller-guard-1,Accessories,56,0,,/collections/propeller-guard-1
dji-neo-2-accessories,Accessories,54,0,,/collections/dji-neo-2-accessories
cargo-transport-drones,Accessories,54,0,,/collections/cargo-transport-drones
drone-protection,Accessories,53,0,,/collections/drone-protection
dji-avata-2-accessories,Accessories,51,0,,/collections/dji-avata-2-accessories
accessories-dji-mini-2-2-se,Accessories,47,0,,/collections/accessories-dji-mini-2-2-se
dji-mavic-pro-accessories,Accessories,46,0,,/collections/dji-mavic-pro-accessories
dji-mini-3-accessories,Accessories,43,0,,/collections/dji-mini-3-accessories
dji-mavic-air-accessories,Accessories,39,0,,/collections/dji-mavic-air-accessories
drone-remote-control-accessories,Accessories,32,0,,/collections/drone-remote-control-accessories
enterprise-accessories,Accessories,32,0,,/collections/enterprise-accessories
drone-lighting,Accessories,28,0,,/collections/drone-lighting
mapping-survey-drones,Accessories,26,0,,/collections/mapping-survey-drones
airdrop-system,Accessories,24,0,,/collections/airdrop-system
drone-mat-landing-protection,Accessories,21,0,,/collections/drone-mat-landing-protection
accessories-dji-neo,Accessories,20,0,,/collections/accessories-dji-neo
accessories-dji-mini-4,Accessories,18,0,,/collections/accessories-dji-mini-4
dji-matrice-4-accessories,Accessories,15,0,,/collections/dji-matrice-4-accessories
accessories-dji-avata-series,Accessories,14,0,,/collections/accessories-dji-avata-series
accessories-for-dji-air-3-series,Accessories,14,0,,/collections/accessories-for-dji-air-3-series
dji-mini-4-pro-accessories,Accessories,14,0,,/collections/dji-mini-4-pro-accessories
outdoor-multi-tools,Accessories,14,0,,/collections/outdoor-multi-tools
