pillar,menu_handle,level,label,path,url,target_handle,note
Drones,main-menu,1,Drones,Drones,,,top-level
Drones,main-menu,2,DJI Mini Series,Drones > DJI Mini Series,/collections/dji-mini-4-series,dji-mini-4-series,
Drones,main-menu,2,DJI Air Series,Drones > DJI Air Series,/collections/dji-air-series,dji-air-series,
Drones,main-menu,2,DJI Mavic Series,Drones > DJI Mavic Series,/collections/dji-mavic-series,dji-mavic-series,
Drones,main-menu,2,DJI Avata / FPV,Drones > DJI Avata / FPV,/collections/dji-avata-series,dji-avata-series,
Drones,main-menu,2,DJI Neo,Drones > DJI Neo,/collections/dji-neo,dji-neo,
Drones,main-menu,2,DJI Flip,Drones > DJI Flip,/collections/dji-flip-drones,dji-flip-drones,
Drones,main-menu,2,HoverAir,Drones > HoverAir,/collections/hoverair-drones,hoverair-drones,
Drones,main-menu,2,All Consumer Drones,Drones > All Consumer Drones,/collections/dji-drones,dji-drones,
Enterprise,enterprise,1,Enterprise,Enterprise,,,top-level
Enterprise,enterprise,2,Enterprise Overview,Enterprise > Enterprise Overview,/collections/enterprise-drones,enterprise-drones,
Enterprise,enterprise,2,DJI Matrice,Enterprise > DJI Matrice,/collections/dji-matrice-series,dji-matrice-series,
Enterprise,enterprise,2,Mavic Enterprise,Enterprise > Mavic Enterprise,/collections/dji-mavic-series-enterprise,dji-mavic-series-enterprise,
Enterprise,enterprise,2,DJI Agras,Enterprise > DJI Agras,/collections/dji-agras-drones,dji-agras-drones,
Enterprise,enterprise,2,FlyCart,Enterprise > FlyCart,/collections/dji-flycart-series,dji-flycart-series,
Enterprise,enterprise,2,DJI Dock,Enterprise > DJI Dock,/collections/dji-dock-series,dji-dock-series,
Enterprise,enterprise,3,Inspection,Enterprise > Industry Solutions > Inspection,/collections/inspection-drones,inspection-drones,
Enterprise,enterprise,3,Agriculture,Enterprise > Industry Solutions > Agriculture,/collections/agriculture-drones,agriculture-drones,
Enterprise,enterprise,3,Forestry,Enterprise > Industry Solutions > Forestry,/collections/forestry-drones,forestry-drones,
Enterprise,enterprise,3,Mapping & Survey,Enterprise > Industry Solutions > Mapping & Survey,/collections/mapping-survey-drones,mapping-survey-drones,
Enterprise,enterprise,3,Energy & Infrastructure,Enterprise > Industry Solutions > Energy & Infrastructure,/collections/energy-infrastructure,energy-infrastructure,
Enterprise,enterprise,3,Transport & Logistics,Enterprise > Industry Solutions > Transport & Logistics,/collections/transport-logistics,transport-logistics,
Spare Parts,spare-parts,1,Spare Parts,Spare Parts,,,top-level
Spare Parts,spare-parts,2,DJI Mini 4 Pro,Spare Parts > DJI Mini 4 Pro,/collections/dji-mini-4-pro-spare-parts,dji-mini-4-pro-spare-parts,group 12 component collections
Spare Parts,spare-parts,2,DJI Air 3,Spare Parts > DJI Air 3,/collections/dji-air-3-spare-parts,dji-air-3-spare-parts,group 12 component collections
Spare Parts,spare-parts,2,DJI Matrice 4,Spare Parts > DJI Matrice 4,/collections/dji-matrice-4-spare-parts,dji-matrice-4-spare-parts,
Spare Parts,spare-parts,2,DJI Matrice 350 RTK,Spare Parts > DJI Matrice 350 RTK,/collections/dji-matrice-350-rtk-spare-parts,dji-matrice-350-rtk-spare-parts,
Spare Parts,spare-parts,2,DJI Mavic 3 Enterprise,Spare Parts > DJI Mavic 3 Enterprise,/collections/dji-mavic-3-enterprise-spare-parts,dji-mavic-3-enterprise-spare-parts,
Spare Parts,spare-parts,2,Repair & Precision Tools,Spare Parts > Repair & Precision Tools,/collections/repair-precision-tools,repair-precision-tools,
Accessories,main-menu,1,Accessories,Accessories,,,top-level
Accessories,main-menu,2,Drone Filters,Accessories > Drone Filters,/collections/drone-filters,drone-filters,
Accessories,main-menu,2,Propellers,Accessories > Propellers,/collections/drones-propellers-accessories,drones-propellers-accessories,
Accessories,main-menu,2,Batteries,Accessories > Batteries,/collections/batteries,batteries,
Accessories,main-menu,2,Bags & Cases,Accessories > Bags & Cases,/collections/drone-backpack-bags,drone-backpack-bags,
Accessories,main-menu,2,Remote Controls,Accessories > Remote Controls,/collections/drone-remote-controls,drone-remote-controls,
Accessories,main-menu,2,Mounts & Tripods,Accessories > Mounts & Tripods,/collections/camera-tripod-stand,camera-tripod-stand,
Accessories,main-menu,2,Memory Cards & Storage,Accessories > Memory Cards & Storage,/collections/memory-card-storage,memory-card-storage,
Accessories,main-menu,2,Drone Lighting,Accessories > Drone Lighting,/collections/drone-lighting,drone-lighting,
Payloads & Sensors,enterprise,1,Payloads & Sensors,Payloads & Sensors,,,top-level
