current_handle,proposed_handle,current_url,new_url,redirect_required,swedish_detected,title,execute_phase,internal_references_impacted
contact,contact-us,/pages/contact,/pages/contact-us,YES,YES,Kontakta oss,4,
actionking-student,(exclude),/pages/actionking-student,(exclude),EXCLUDE,LEGACY,"ActionKing söker drivna studenter – SEO, Webbutveckling, Content & Marknadsföring",EXCLUDE,
360-camera,360-camera,/pages/360-camera,/pages/360-camera,NO,NO,360-kamera - stort utbud av kameror och tillbehör online,SKIP,
vara-varumarken,brands,/pages/vara-varumarken,/pages/brands,YES,YES,Våra Varumärken,4,
dji-neo,dji-neo,/pages/dji-neo,/pages/dji-neo,NO,NO,DJI Neo,SKIP,main-menu → DJI Neo; main-menu → :[];DJI Neo
filter-action-king,(exclude),/pages/filter-action-king,(exclude),EXCLUDE,LEGACY,Filter,EXCLUDE,
faq,faq,/pages/faq,/pages/faq,NO,NO,Välkommen till ActionKings FAQ!,SKIP,
dji-osmo,dji-osmo,/pages/dji-osmo,/pages/dji-osmo,NO,NO,DJI Osmo-kameror och tillbehör för film och äventyr,SKIP,
dji-accessories,dji-accessories,/pages/dji-accessories,/pages/dji-accessories,NO,NO,DJI-tillbehör för drönare - stort utbud för alla modeller,SKIP,
gopro-faste,gopro-mount,/pages/gopro-faste,/pages/gopro-mount,YES,YES,GoPro-fäste för actionkamera - flexibla och säkra monteringslösningar,4,
home-preparedness-equipment,home-preparedness-equipment,/pages/home-preparedness-equipment,/pages/home-preparedness-equipment,NO,NO,"Hemberedskap: Utrustning för kris, elavbrott och vardagssäkerhet",SKIP,
camera-tripod,camera-tripod,/pages/camera-tripod,/pages/camera-tripod,NO,NO,Kamerastativ för actionkameror och drönare - stort utbud online,SKIP,
waterproof-flashlight,waterproof-flashlight,/pages/waterproof-flashlight,/pages/waterproof-flashlight,NO,NO,Vattentät ficklampa för friluftsliv och äventyr - stort utbud online,SKIP,
retur-reklamation,retur-claims,/pages/retur-reklamation,/pages/retur-claims,YES,YES,Retur & Reklamation,4,
rekalamtioner-aterkop,claims-buyback,/pages/rekalamtioner-aterkop,/pages/claims-buyback,YES,YES,Reklamationer & Återköp,4,
gimbal-and-stabilisering,gimbal-and-stabilization,/pages/gimbal-and-stabilisering,/pages/gimbal-and-stabilization,YES,YES,"Gimbal och stabilisering för mobil, kamera och actionkamera",4,
drone-accessories-dji-m3pro,drone-accessories-dji-m3pro,/pages/drone-accessories-dji-m3pro,/pages/drone-accessories-dji-m3pro,NO,NO,Drönartillbehör för DJI Mavic 3 Pro – Höj din flygning!,SKIP,
drones-action-king,(exclude),/pages/drones-action-king,(exclude),EXCLUDE,LEGACY,Drönare,EXCLUDE,
protection,protection,/pages/protection,/pages/protection,NO,NO,Skydd,SKIP,
dji-avata-series,dji-avata-series,/pages/dji-avata-series,/pages/dji-avata-series,NO,NO,DJI Avata-serien,SKIP,
dji-mini-series,dji-mini-series,/pages/dji-mini-series,/pages/dji-mini-series,NO,NO,DJI Mini-serien,SKIP,
dji-mavic-series,dji-mavic-series,/pages/dji-mavic-series,/pages/dji-mavic-series,NO,NO,DJI Mavic-serien,SKIP,
dji-drones,dji-drones,/pages/dji-drones,/pages/dji-drones,NO,NO,DJI-Drönare,SKIP,
hoverair-drones,hoverair-drones,/pages/hoverair-drones,/pages/hoverair-drones,NO,NO,HoverAir-Drönare,SKIP,
hoverair-drone-accessories,hoverair-drone-accessories,/pages/hoverair-drone-accessories,/pages/hoverair-drone-accessories,NO,NO,HoverAir-Drönartillbehör,SKIP,
dji-mavic-3-series,dji-mavic-3-series,/pages/dji-mavic-3-series,/pages/dji-mavic-3-series,NO,NO,DJI Mavic 3-serien,SKIP,
tripod,tripod,/pages/tripod,/pages/tripod,NO,NO,Stativ,SKIP,
spare-parts,spare-parts,/pages/spare-parts,/pages/spare-parts,NO,NO,Reservdelar till actionkameror,SKIP,
kopvillkor,terms-of-sale,/pages/kopvillkor,/pages/terms-of-sale,YES,YES,Köpvillkor,4,
om-actionking-se,(exclude),/pages/om-actionking-se,(exclude),EXCLUDE,LEGACY,Om ActionKing,EXCLUDE,
gopro-accessories-and-spare-parts,gopro-accessories-and-spare-parts,/pages/gopro-accessories-and-spare-parts,/pages/gopro-accessories-and-spare-parts,NO,NO,GoPro Tillbehör och reservdelar allt till din kamera.,SKIP,
accessories-for-dji-drones,accessories-for-dji-drones,/pages/accessories-for-dji-drones,/pages/accessories-for-dji-drones,NO,NO,Tillbehör till DJI-Drönare,SKIP,
chargers-dji-batteries,chargers-dji-batteries,/pages/chargers-dji-batteries,/pages/chargers-dji-batteries,NO,NO,Laddare för DJI batterier,SKIP,
vilken-bilkamera-ar-bast,which-dash-cam-is-best,/pages/vilken-bilkamera-ar-bast,/pages/which-dash-cam-is-best,YES,YES,Vilken bilkamera är bäst?,4,
neck-strap-for-drones,neck-strap-for-drones,/pages/neck-strap-for-drones,/pages/neck-strap-for-drones,NO,NO,Nackrem till drönare,SKIP,
propellers-for-drones,propellers-for-drones,/pages/propellers-for-drones,/pages/propellers-for-drones,NO,NO,Propeller till drönare,SKIP,
bag-for-gopro,bag-for-gopro,/pages/bag-for-gopro,/pages/bag-for-gopro,NO,NO,Väska till GoPro,SKIP,
memory-cards-for-gopro,memory-cards-for-gopro,/pages/memory-cards-for-gopro,/pages/memory-cards-for-gopro,NO,NO,Minneskort till GoPro,SKIP,
