resource_type,proposed_handle,taxonomy_pillar,action,menu_path,proposed_url,note
collection,dji-air-3s-spare-parts,Spare Parts,CREATE,Spare Parts > DJI Air 3S,/collections/dji-air-3s-spare-parts,Approved hub collection
collection,dji-air-3s-propellers,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > propellers,/collections/dji-air-3s-propellers,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-batteries,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > batteries,/collections/dji-air-3s-batteries,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-motors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > motors,/collections/dji-air-3s-motors,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-arms,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > arms,/collections/dji-air-3s-arms,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-cameras,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > cameras,/collections/dji-air-3s-cameras,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-gimbal,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > gimbal,/collections/dji-air-3s-gimbal,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-shell,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > shell,/collections/dji-air-3s-shell,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-landing-gear,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > landing-gear,/collections/dji-air-3s-landing-gear,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-cables,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > cables,/collections/dji-air-3s-cables,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-antennas,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > antennas,/collections/dji-air-3s-antennas,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-sensors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > sensors,/collections/dji-air-3s-sensors,"Component collection — create if missing, assign products via rules"
collection,dji-air-3s-accessories,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Air 3S > accessories,/collections/dji-air-3s-accessories,"Component collection — create if missing, assign products via rules"
collection,dji-neo-spare-parts,Spare Parts,CREATE,Spare Parts > DJI Neo,/collections/dji-neo-spare-parts,Approved hub collection
collection,dji-neo-propellers,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > propellers,/collections/dji-neo-propellers,"Component collection — create if missing, assign products via rules"
collection,dji-neo-batteries,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > batteries,/collections/dji-neo-batteries,"Component collection — create if missing, assign products via rules"
collection,dji-neo-motors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > motors,/collections/dji-neo-motors,"Component collection — create if missing, assign products via rules"
collection,dji-neo-arms,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > arms,/collections/dji-neo-arms,"Component collection — create if missing, assign products via rules"
collection,dji-neo-cameras,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > cameras,/collections/dji-neo-cameras,"Component collection — create if missing, assign products via rules"
collection,dji-neo-gimbal,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > gimbal,/collections/dji-neo-gimbal,"Component collection — create if missing, assign products via rules"
collection,dji-neo-shell,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > shell,/collections/dji-neo-shell,"Component collection — create if missing, assign products via rules"
collection,dji-neo-landing-gear,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > landing-gear,/collections/dji-neo-landing-gear,"Component collection — create if missing, assign products via rules"
collection,dji-neo-cables,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > cables,/collections/dji-neo-cables,"Component collection — create if missing, assign products via rules"
collection,dji-neo-antennas,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > antennas,/collections/dji-neo-antennas,"Component collection — create if missing, assign products via rules"
collection,dji-neo-sensors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > sensors,/collections/dji-neo-sensors,"Component collection — create if missing, assign products via rules"
collection,dji-neo-accessories,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Neo > accessories,/collections/dji-neo-accessories,"Component collection — create if missing, assign products via rules"
collection,repair-dji-neo-spare-parts,Spare Parts,MERGE,Spare Parts > DJI Neo,/collections/dji-neo-spare-parts,Merge into dji-neo-spare-parts
collection,dji-flip-spare-parts,Spare Parts,CREATE,Spare Parts > DJI Flip,/collections/dji-flip-spare-parts,Approved hub collection
collection,dji-flip-propellers,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > propellers,/collections/dji-flip-propellers,"Component collection — create if missing, assign products via rules"
collection,dji-flip-batteries,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > batteries,/collections/dji-flip-batteries,"Component collection — create if missing, assign products via rules"
collection,dji-flip-motors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > motors,/collections/dji-flip-motors,"Component collection — create if missing, assign products via rules"
collection,dji-flip-arms,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > arms,/collections/dji-flip-arms,"Component collection — create if missing, assign products via rules"
collection,dji-flip-cameras,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > cameras,/collections/dji-flip-cameras,"Component collection — create if missing, assign products via rules"
collection,dji-flip-gimbal,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > gimbal,/collections/dji-flip-gimbal,"Component collection — create if missing, assign products via rules"
collection,dji-flip-shell,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > shell,/collections/dji-flip-shell,"Component collection — create if missing, assign products via rules"
collection,dji-flip-landing-gear,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > landing-gear,/collections/dji-flip-landing-gear,"Component collection — create if missing, assign products via rules"
collection,dji-flip-cables,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > cables,/collections/dji-flip-cables,"Component collection — create if missing, assign products via rules"
collection,dji-flip-antennas,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > antennas,/collections/dji-flip-antennas,"Component collection — create if missing, assign products via rules"
collection,dji-flip-sensors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > sensors,/collections/dji-flip-sensors,"Component collection — create if missing, assign products via rules"
collection,dji-flip-accessories,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Flip > accessories,/collections/dji-flip-accessories,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-spare-parts,Spare Parts,CREATE,Spare Parts > DJI Avata 2,/collections/dji-avata-2-spare-parts,Approved hub collection
collection,dji-avata-2-propellers,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > propellers,/collections/dji-avata-2-propellers,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-batteries,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > batteries,/collections/dji-avata-2-batteries,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-motors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > motors,/collections/dji-avata-2-motors,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-arms,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > arms,/collections/dji-avata-2-arms,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-cameras,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > cameras,/collections/dji-avata-2-cameras,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-gimbal,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > gimbal,/collections/dji-avata-2-gimbal,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-shell,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > shell,/collections/dji-avata-2-shell,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-landing-gear,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > landing-gear,/collections/dji-avata-2-landing-gear,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-cables,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > cables,/collections/dji-avata-2-cables,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-antennas,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > antennas,/collections/dji-avata-2-antennas,"Component collection — create if missing, assign products via rules"
collection,dji-avata-2-sensors,Spare Parts,CREATE_OR_ASSIGN,Spare Parts > DJI Avata 2 > sensors,/collections/dji-avata-2-sensors,"Component collection — create if missing, assign products via rules"
