from_path,to_path,resource_type,reason,dry_run_action,status
/collections/amagisn-kameratillbehor-and-dronarutrustning,/collections/amagisn-camera-accessories-and-drone-equipment,collection,collection_rename,CREATE,PENDING
/en/collections/amagisn-kameratillbehor-and-dronarutrustning,/collections/amagisn-camera-accessories-and-drone-equipment,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/bandverktyg,/collections/precision-tools,collection,collection_rename,CREATE,PENDING
/en/collections/bandverktyg,/collections/precision-tools,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/belysning-for-drones,/collections/drone-lighting,collection,collection_rename,CREATE,PENDING
/en/collections/belysning-for-drones,/collections/drone-lighting,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dij-air-3-series,/collections/dji-air-3-series,collection,collection_merge,CREATE,PENDING
/en/collections/dij-air-3-series,/collections/dji-air-3-series,collection,collection_merge (legacy /en prefix),CREATE,PENDING
/collections/dji,/collections/dji-drones,collection,collection_merge,CREATE,PENDING
/en/collections/dji,/collections/dji-drones,collection,collection_merge (legacy /en prefix),CREATE,PENDING
/collections/dji-air-3-antenner,/collections/dji-air-3-antennas,collection,collection_rename,CREATE,PENDING
/en/collections/dji-air-3-antenner,/collections/dji-air-3-antennas,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-air-3-armar,/collections/dji-air-3-arms,collection,collection_rename,CREATE,PENDING
/en/collections/dji-air-3-armar,/collections/dji-air-3-arms,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-air-3-kablar,/collections/dji-air-3-cables,collection,collection_rename,CREATE,PENDING
/en/collections/dji-air-3-kablar,/collections/dji-air-3-cables,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-air-3-kameror,/collections/dji-air-3-cameras,collection,collection_rename,CREATE,PENDING
/en/collections/dji-air-3-kameror,/collections/dji-air-3-cameras,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-air-3-landningsstall,/collections/dji-air-3-landing-gear,collection,collection_rename,CREATE,PENDING
/en/collections/dji-air-3-landningsstall,/collections/dji-air-3-landing-gear,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-air-3-motorer,/collections/dji-air-3-motors,collection,collection_rename,CREATE,PENDING
/en/collections/dji-air-3-motorer,/collections/dji-air-3-motors,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-air-3-sensorer,/collections/dji-air-3-sensors,collection,collection_rename,CREATE,PENDING
/en/collections/dji-air-3-sensorer,/collections/dji-air-3-sensors,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-air-3-skal,/collections/dji-air-3-shell,collection,collection_rename,CREATE,PENDING
/en/collections/dji-air-3-skal,/collections/dji-air-3-shell,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-drones-fjarrkontroller,/collections/dji-drones-remote-controls,collection,collection_rename,CREATE,PENDING
/en/collections/dji-drones-fjarrkontroller,/collections/dji-drones-remote-controls,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-enterprise-fjarrkontroller,/collections/dji-enterprise-remote-controls,collection,collection_rename,CREATE,PENDING
/en/collections/dji-enterprise-fjarrkontroller,/collections/dji-enterprise-remote-controls,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-flycart-100-lastdronare,/collections/dji-flycart-100-cargo-drones,collection,collection_rename,CREATE,PENDING
/en/collections/dji-flycart-100-lastdronare,/collections/dji-flycart-100-cargo-drones,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-matrice-30-serie-accessories,/collections/dji-matrice-30-series-accessories,collection,collection_rename,CREATE,PENDING
/en/collections/dji-matrice-30-serie-accessories,/collections/dji-matrice-30-series-accessories,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-matrice-350-rtk-antenner,/collections/dji-matrice-350-rtk-antennas,collection,collection_rename,CREATE,PENDING
/en/collections/dji-matrice-350-rtk-antenner,/collections/dji-matrice-350-rtk-antennas,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-matrice-350-rtk-rtk,/collections/dji-matrice-350-rtk,collection,collection_merge,CREATE,PENDING
/en/collections/dji-matrice-350-rtk-rtk,/collections/dji-matrice-350-rtk,collection,collection_merge (legacy /en prefix),CREATE,PENDING
/collections/dji-matrice-4-kablar,/collections/dji-matrice-4-cables,collection,collection_rename,CREATE,PENDING
/en/collections/dji-matrice-4-kablar,/collections/dji-matrice-4-cables,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-matrice-4-kameror,/collections/dji-matrice-4-cameras,collection,collection_rename,CREATE,PENDING
/en/collections/dji-matrice-4-kameror,/collections/dji-matrice-4-cameras,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-matrice-4-serie,/collections/dji-matrice-4-series,collection,collection_rename,CREATE,PENDING
/en/collections/dji-matrice-4-serie,/collections/dji-matrice-4-series,collection,collection_rename (legacy /en prefix),CREATE,PENDING
/collections/dji-mavic-3-enterprise-kameror,/collections/dji-mavic-3-enterprise-cameras,collection,collection_rename,CREATE,PENDING
