from_path,to_path,resource_type,current_handle,proposed_handle,redirect_type,preserve_seo,internal_refs
/collections/amagisn-kameratillbehor-and-dronarutrustning,/collections/amagisn-camera-accessories-and-drone-equipment,collection,amagisn-kameratillbehor-and-dronarutrustning,amagisn-camera-accessories-and-drone-equipment,301,YES,
/collections/bandverktyg,/collections/pliers,collection,bandverktyg,pliers,301,YES,
/collections/belysning-for-drones,/collections/lighting-for-drones,collection,belysning-for-drones,lighting-for-drones,301,YES,
/collections/dji-air-3-antenner,/collections/dji-air-3-antennas,collection,dji-air-3-antenner,dji-air-3-antennas,301,YES,spare-parts-deploy → :[];Antenner
/collections/dji-air-3-armar,/collections/dji-air-3-arms,collection,dji-air-3-armar,dji-air-3-arms,301,YES,spare-parts-deploy → :[];Armar
/collections/dji-air-3-kablar,/collections/dji-air-3-cables,collection,dji-air-3-kablar,dji-air-3-cables,301,YES,spare-parts-deploy → :[];Kablar
/collections/dji-air-3-kameror,/collections/dji-air-3-cameras,collection,dji-air-3-kameror,dji-air-3-cameras,301,YES,spare-parts-deploy → :[];Kameror
/collections/dji-air-3-landningsstall,/collections/dji-air-3-landing-gear,collection,dji-air-3-landningsstall,dji-air-3-landing-gear,301,YES,spare-parts-deploy → :[];Landningsställ
/collections/dji-air-3-motorer,/collections/dji-air-3-motors,collection,dji-air-3-motorer,dji-air-3-motors,301,YES,spare-parts-deploy → :[];Motorer
/collections/dji-air-3-sensorer,/collections/dji-air-3-sensors,collection,dji-air-3-sensorer,dji-air-3-sensors,301,YES,spare-parts-deploy → :[];Sensorer
/collections/dji-air-3-skal,/collections/dji-air-3-shell,collection,dji-air-3-skal,dji-air-3-shell,301,YES,spare-parts-deploy → :[];Skal
/collections/dji-drones-fjarrkontroller,/collections/dji-drones-remote-controls,collection,dji-drones-fjarrkontroller,dji-drones-remote-controls,301,YES,
/collections/dji-enterprise-fjarrkontroller,/collections/dji-enterprise-remote-controls,collection,dji-enterprise-fjarrkontroller,dji-enterprise-remote-controls,301,YES,
/collections/dji-flycart-100-lastdronare,/collections/dji-flycart-100-cargo-drones,collection,dji-flycart-100-lastdronare,dji-flycart-100-cargo-drones,301,YES,main-menu → FlyCart 100; main-menu → :[FlyCart 100
/collections/dji-matrice-30-serie-accessories,/collections/dji-matrice-30-series-accessories,collection,dji-matrice-30-serie-accessories,dji-matrice-30-series-accessories,301,YES,
/collections/dji-matrice-350-rtk-antenner,/collections/dji-matrice-350-rtk-antennas,collection,dji-matrice-350-rtk-antenner,dji-matrice-350-rtk-antennas,301,YES,spare-parts-deploy → :[];Antenner
/collections/dji-matrice-4-kablar,/collections/dji-matrice-4-cables,collection,dji-matrice-4-kablar,dji-matrice-4-cables,301,YES,spare-parts-deploy → :[];Kablar
/collections/dji-matrice-4-kameror,/collections/dji-matrice-4-cameras,collection,dji-matrice-4-kameror,dji-matrice-4-cameras,301,YES,spare-parts-deploy → :[];Kameror
